ref_file,from_file,repo_name,from_file_dir
cli/resources/datastore/adls-gen1-credless.yml,reference-yaml-datastore-data-lake-gen1.md,azureml-examples,machine-learning
cli/resources/datastore/adls-gen1.yml,reference-yaml-datastore-data-lake-gen1.md,azureml-examples,machine-learning
cli/resources/datastore/adls-gen2-credless.yml,reference-yaml-datastore-data-lake-gen2.md,azureml-examples,machine-learning
cli/resources/datastore/adls-gen2.yml,reference-yaml-datastore-data-lake-gen2.md,azureml-examples,machine-learning
cli/resources/datastore/blob-credless.yml,reference-yaml-datastore-blob.md,azureml-examples,machine-learning
cli/resources/datastore/blob-protocol.yml,reference-yaml-datastore-blob.md,azureml-examples,machine-learning
cli/resources/datastore/blob-sas.yml,reference-yaml-datastore-blob.md,azureml-examples,machine-learning
cli/resources/datastore/blob.yml,reference-yaml-datastore-blob.md,azureml-examples,machine-learning
cli/resources/datastore/file-sas.yml,reference-yaml-datastore-files.md,azureml-examples,machine-learning
cli/resources/datastore/file.yml,reference-yaml-datastore-files.md,azureml-examples,machine-learning
cli/resources/registry/registry-storage-options.yml,reference-yaml-registry.md,azureml-examples,machine-learning
